Title,Artists,Album,Album Release Date
Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),"['Shakira', 'Freshlyground']",Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),2010-05-07
Tutu - Remix,"['Camilo', 'Shakira', 'Pedro Capó']",Tutu (Remix),2019-10-15
"Whenever, Wherever",['Shakira'],Laundry Service,2001-11-13
You Need To Calm Down,['Taylor Swift'],Lover,2019-08-23
Shake It Off,['Taylor Swift'],1989 (Deluxe),2014-01-01
Look What You Made Me Do,['Taylor Swift'],reputation,2017-11-10
Échame La Culpa,"['Luis Fonsi', 'Demi Lovato']",VIDA,2019-02-01
Marry You,['Bruno Mars'],Doo-Wops & Hooligans,2010-10-05
Sweet Child O' Mine,"[""Guns N' Roses""]",Appetite For Destruction,1987-07-21
Crazy Little Thing Called Love,['Michael Bublé'],Michael Bublé,2003
Dancing in the Moonlight,['Toploader'],Onka's Big Moka,2000
Walking On Sunshine,['Katrina & The Waves'],Katrina & The Waves,1985
I Wanna Dance with Somebody (Who Loves Me),['Whitney Houston'],Whitney,1987-06-02
Wake Me Up Before You Go-Go,['Wham!'],Make It Big,1984-10-23
Come On Eileen,['Dexys Midnight Runners'],Too Rye Ay (Deluxe Edition),1982-08
Macarena,['Los Del Rio'],A Mi Me Gusta,1993-12-13
The Best - Edit,['Tina Turner'],Simply the Best,1991-01-01
Let's Have A Kiki,['Scissor Sisters'],Magic Hour,2012-01-01
Man! I Feel Like A Woman!,['Shania Twain'],Greatest Hits,2004-01-01
"Moves Like Jagger - Studio Recording From ""The Voice"" Performance","['Maroon 5', 'Christina Aguilera']",Hands All Over (Revised International Standard version),2010
Sexy And I Know It,['LMFAO'],Sorry For Party Rocking,2011-01-01
YMCA - Original Version 1978,['Village People'],YMCA,1978-01-01
All About That Bass,['Meghan Trainor'],All About That Bass,2014-06-30
"Footloose - From ""Footloose"" Soundtrack",['Kenny Loggins'],The Essential Kenny Loggins,2002
Girls Just Wanna Have Fun,['Cyndi Lauper'],80s 100 Hits,2010-02-26
Livin' On A Prayer,['Bon Jovi'],Slippery When Wet,1986-08-16
Eye of the Tiger,['Survivor'],Rocky IV,1985
It's Raining Men,['Geri Halliwell'],Scream If You Wanna Go Faster,2001-05-14
Mamma Mia,['ABBA'],Abba,1975
"Oh, Pretty Woman",['Roy Orbison'],"Oh, Pretty Woman",1962
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",['Justin Timberlake'],"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",2016-05-06
"Happy - From ""Despicable Me 2""",['Pharrell Williams'],G I R L,2014-03-03
Living on My Own - Single Edit,['Freddie Mercury'],Messenger Of The Gods: The Singles Collection,2016-09-02
Here Comes The Sun - Remastered 2009,['The Beatles'],Abbey Road (Remastered),1969-09-26
Help! - Remastered 2009,['The Beatles'],Help! (Remastered),1965-08-06
Mamma Mia - From 'Mamma Mia!' Original Motion Picture Soundtrack,['Meryl Streep'],Mamma Mia! The Movie Soundtrack,2008-01-01
Dancing Queen - From 'Mamma Mia!' Original Motion Picture Soundtrack,"['Meryl Streep', 'Julie Walters', 'Christine Baranski']",Mamma Mia! The Movie Soundtrack,2008-01-01
Super Trouper,"['Cher', 'Meryl Streep', 'Christine Baranski', 'Julie Walters', 'Pierce Brosnan', 'Colin Firth', 'Stellan Skarsgård', 'Andy Garcia', 'Amanda Seyfried', 'Dominic Cooper', 'Lily James', 'Jessica Keenan Wynn', 'Alexa Davies', 'Josh Dylan', 'Jeremy Irvine', 'Hugh Skinner']",Mamma Mia! Here We Go Again (Original Motion Picture Soundtrack),2018-07-13
"Money, Money, Money - From 'Mamma Mia!' Original Motion Picture Soundtrack","['Meryl Streep', 'Julie Walters', 'Christine Baranski']",Mamma Mia! The Movie Soundtrack,2008-01-01
Voulez-Vous - From 'Mamma Mia!' Original Motion Picture Soundtrack,"['Cast of Mamma Mia! The Movie', 'Philip Michael', 'Christine Baranski', 'Julie Walters', 'Stellan Skarsgård']",Mamma Mia! The Movie Soundtrack,2008-01-01
Gimme! Gimme! Gimme! (A Man After Midnight) - From 'Mamma Mia!' Original Motion Picture Soundtrack,"['Amanda Seyfried', 'Ashley Lilley', 'Rachel McDowall']",Mamma Mia! The Movie Soundtrack,2008-01-01
Super Trouper - From 'Mamma Mia!' Original Motion Picture Soundtrack,"['Meryl Streep', 'Julie Walters', 'Christine Baranski']",Mamma Mia! The Movie Soundtrack,2008-01-01
Dancing Queen - From 'Mamma Mia!' Original Motion Picture Soundtrack,"['Meryl Streep', 'Julie Walters', 'Christine Baranski']",Mamma Mia! The Movie Soundtrack,2008-01-01
"Honey, Honey - From 'Mamma Mia!' Original Motion Picture Soundtrack","['Amanda Seyfried', 'Ashley Lilley', 'Rachel McDowall']",Mamma Mia! The Movie Soundtrack,2008-01-01
Billie Jean,['Michael Jackson'],Thriller 25 Super Deluxe Edition,2008-02-08
Beat It,['Michael Jackson'],Thriller 25 Super Deluxe Edition,2008-02-08
Smooth Criminal - 2012 Remaster,['Michael Jackson'],Bad 25th Anniversary,2012-09-18
Thriller,['Michael Jackson'],Thriller,1982-11-30
Ave María,['David Bisbal'],Corazon Latino,2002-01-01
Corazon Latino,['David Bisbal'],2x1 David Bisbal,2011-01-01
Buleria,['David Bisbal'],2x1 David Bisbal,2011-01-01
Al Andalus,['David Bisbal'],Sin Mirar Atrás (Sin Mirar Atrás Tour),2010-01-01
Torre De Babel - DB Original Mix,"['David Bisbal', 'Vicente Amigo']",Premonicion,2006
Cuando Tú Vas,['Chenoa'],Chenoa,2002-01-01
Torero,['Chayanne'],Chayanne,1998
Boum Boum (Boom Boom) - Spanglish Version,['Chayanne'],Chayanne,1998
Salome - Club Mix-Radio Edit,"['Chayanne', 'Pedro Del Moral', 'David Ferrero']",Chayanne,1998
Candela,['Noelia'],Noelia,2017-12-16
Adiós papá,['Los Ronaldos'],Las 101 canciones de EGB,2015-11-27
Escuela de Calor,['Radio Futura'],La Ley Del Desierto,1984-04-20
Roar,['Katy Perry'],PRISM (Deluxe),2013-01-01
Despacito - Remix,"['Luis Fonsi', 'Daddy Yankee', 'Justin Bieber']",Despacito Feat. Justin Bieber (Remix),2017-04-17
Barbie Girl,['Aqua'],Pop Party (International Version),2007-01-01
Barbie Girl,['Aqua'],Aquarium (Special Edition),1997-01-01
Bang Bang,"['Jessie J', 'Ariana Grande', 'Nicki Minaj']",Sweet Talker (Deluxe Version),2014-10-10
Party Rock Anthem,"['LMFAO', 'Lauren Bennett', 'GoonRock']",Sorry For Party Rocking,2011-01-01
Limbo,['Daddy Yankee'],Prestige,2012-01-01
Sólo Se Vive una Vez,['Azucar Moreno'],Mucho Azucar (Grandes Exitos),1997-11-13
La chica yeyé,['Ole Ole'],1990,1990
Salio El Sol,['Don Omar'],King Of Kings,2006-01-01
We Don't Talk Anymore - Attom Remix,"['Charlie Puth', 'Selena Gomez', 'Attom']",We Don't Talk Anymore (Attom Remix),2016-07-08
Vivir Así Es Morir de Amor,['Camilo Sesto'],Sentimientos,1978-01-02
She Bangs - English Version,['Ricky Martin'],The Greatest Hits,2015-10-19
We Found Love (feat. Rihanna),"['Calvin Harris', 'Rihanna']",18 Months,2012-10-29
Sin Noticias De Holanda - 2006 Remastered Version,['Melendi'],Sin Noticias De Holanda,2006-07-03
Me Gusta El Fútbol,['Melendi'],Mientras No Cueste Más Trabajo,2007-10-02
Usted,['Monica Naranjo'],Tarántula,2008-04-22
Sax,['Fleur East'],"Love, Sax and Flashbacks (Deluxe)",2015-12-04
Xena: The Warrior Princess,['Various Artists'],Ancient Warriors,2011-06-13
Dragostea Din Tei - Romanian Version,['O-Zone'],Dragostea Din Tei,2003-08-01
Aserejé (The Ketchup Song),['Las Ketchup'],"Just Dance Video Game Hits, Vol. 1",2016-10-25
Gangnam Style (강남스타일),['PSY'],Gangnam Style (강남스타일),2012-01-01
Cake By The Ocean,['DNCE'],DNCE,2016-11-18
Don't Be so Hard on Yourself,['Jess Glynne'],I Cry When I Laugh,2015
Me Colé en una Fiesta,['Mecano'],Esencial Mecano,2013-06-18
El 7 de Septiembre,['Mecano'],Esencial Mecano,2013-06-18
Un Año Mas,['Mecano'],Esencial Mecano,2013-06-18
I Like It,"['Cardi B', 'Bad Bunny', 'J Balvin']",Invasion of Privacy,2018-04-06
Be Careful,['Cardi B'],Invasion of Privacy,2018-04-06
Rodeo,"['Lil Nas X', 'Cardi B']",7 EP,2019-06-21
Old Town Road,['Lil Nas X'],7 EP,2019-06-21
Girls Like You (feat. Cardi B) - Cardi B Version,"['Maroon 5', 'Cardi B']",Red Pill Blues (Deluxe),2018-06-15
Finesse - Remix; feat. Cardi B,"['Bruno Mars', 'Cardi B']",Finesse (Remix) [feat. Cardi B],2017-12-20
La Modelo,"['Ozuna', 'Cardi B']",Aura,2018-08-24
Baila Baila Baila,['Ozuna'],Nibiru,2019-11-29
Calma - Remix,"['Pedro Capó', 'Farruko']",Calma (Remix),2018-10-05
Calma - Alicia Remix,"['Pedro Capó', 'Alicia Keys', 'Farruko']",Gangalee,2019-04-26
Loco Enamorado,"['Abraham Mateo', 'Farruko', 'Christian Daniel']",Loco Enamorado,2017-06-23
Señorita,['Abraham Mateo'],AM,2013-11-11
Pegamos Tela,"['Lérica', 'Omar Montes', 'Abraham Mateo']",Pegamos Tela,2020-01-16
Lovumba,['Daddy Yankee'],Prestige,2012-01-01
Descontrol,['Daddy Yankee'],Mundial (Deluxe Version),2010-04-27
La Despedida,['Daddy Yankee'],Mundial (Deluxe Version),2010-04-27
Gasolina,['Daddy Yankee'],Barrio Fino (Bonus Track Version),2004-07-13
Sabor a Melao,"['Daddy Yankee', 'Andy Montañez']",Barrio Fino (Bonus Track Version),2004-07-13
"Lo Que Pasó, Pasó",['Daddy Yankee'],Barrio Fino (Bonus Track Version),2004-07-13
Donde Estan Las Gatas (feat. Nicky Jam),"['Daddy Yankee', 'Nicky Jam']",Alex Gargolas Greatest Hits,2013-07-09
Soy Una Gargola,['Randy'],Alex Gargolas Greatest Hits,2013-07-09
Runaway,"['Sebastian Yatra', 'Daddy Yankee', 'NATTI NATASHA', 'Jonas Brothers']",Runaway,2019-06-21
Baila Baila Baila - Remix,"['Ozuna', 'Daddy Yankee', 'J Balvin', 'Farruko', 'Anuel AA']","Baila Baila Baila (Remix) [feat. Farruko, Anuel Aa]",2019-04-25
Made For Now,"['Janet Jackson', 'Daddy Yankee']",Made For Now,2018-08-17
Dura,['Daddy Yankee'],Dura,2018-01-18
Havana - Remix,"['Camila Cabello', 'Daddy Yankee']",Havana (Remix),2017-11-12
Despacito - Major Lazer & MOSKA Remix,"['Luis Fonsi', 'Daddy Yankee', 'Major Lazer', 'MOSKA']",Despacito (Major Lazer & MOSKA Remix),2017-05-05
La Rompe Corazones,"['Daddy Yankee', 'Ozuna']",La Rompe Corazones,2017-01-13
Shaky Shaky,['Daddy Yankee'],Shaky Shaky,2016-04-08
Calabria - Club Mix,['Criminal Vibes'],Calabria,2013-12-17
Calabria - Sean Finn Edit,['Criminal Vibes'],Calabria,2013-12-17
Sugar,['Maroon 5'],V (Deluxe),2015-05-18
Work Bitch,['Britney Spears'],Britney Jean (Deluxe Version),2013-11-30
Birthday,['Katy Perry'],PRISM (Deluxe),2013-01-01
We Can't Stop,['Miley Cyrus'],Bangerz (Deluxe Version),2013-10-04
Livin' la Vida Loca,['Ricky Martin'],Ricky Martin,1999
Bará Bará Beré Beré,['Brazil Nightlife Project'],2014 Fiesta de Nochevieja. 25 Éxitos de Música para Bailar,2012-11-19
María,['Ricky Martin'],A Medio Vivir,1995-09-12
Todos los Besos,['Los Rebujitos'],Tras la Máscara,2016-05-20
"El Movimiento del Amor - ""Remix"" 06 Dúo Marisa Amaya","['Gusanito', 'Marisa Amaya']",Gusanito- Grandes Exitos,2006-08-12
Levantando las Manos,['El Simbolo'],Éxitos,2005
El Venao,['Los Cantantes De Ramon Orlando'],Exitos De Los Cantantes De Ramon Orlando,2013-04-24
Te Sale,['Lennis Rodriguez'],Te Sale,2019-06-21
No Se Me Quita (feat. Ricky Martin),"['Maluma', 'Ricky Martin']",11:11,2019-05-17
La Vida Es Un Carnaval,['Celia Cruz'],Para La Eternidad,2016-05-27
Carnaval,['Maluma'],PB.DB. The Mixtape,2015-03-06
Me Gusta,"['Shakira', 'Anuel AA']",Me Gusta,2020-01-13
Bésame,"['David Bisbal', 'Juan Magán']",En Tus Planes,2020-01-02
Sopa de Caracol,['Banda Blanca'],Lo Mejor de Banda Blanca - 16 Exitos,1993-03-23
"Lo Que Paso, Paso - Bachata Mix",['Daddy Yankee'],Barrio Fino (International Version),2004-07-13
Ella Me Levanto,['Daddy Yankee'],El Cartel: The Big Boss (Explicit Version),2007-06-04
Atrévete-Te-Te,['Calle 13'],Calle 13 (Explicit Version),2005
Gasolina,['Daddy Yankee'],"Daddy Yankee ""Gasolina""",2005-01-01
Tu Gatita,"['JMP', 'H.O.M.']",Tu Gatita,2006
Mayonesa,['La Banda Del Merengue'],Merengue,2007-03-31
Una Vaina Loca,['Fuego'],Una Vaina Loca,2011
Agachate - Original Mix,['Danny Romero'],Agachate,2012-02-10
Rayos De Sol - Original Mix,['José de Rico'],Rayos De Sol [Feat. Henry Mendez],2011
Ella Quiere un Pedazo,['Nolberto Al k la'],20 Grandes Exitos,2010-12-01
Bara Bará Bere Berê (Official Remix),['Alex Ferrari'],Bara Bará Bere Berê (Official Remix),2012-07-31
Vivir Mi Vida,['Marc Anthony'],Vivir Mi Vida,2013-07-25
Me Enamore (Feeling of Love),['Xriz'],Me Enamore (Feeling of Love),2013-01-08
Flying Free - Original Mix,"['Pont Aeri', 'Marian Dacal']","Pont Aeri, Vol. 4 EP",1999-05-06
Esta noche haremos el amor (Made famous by Jimmy Bad Boy) (Cover version),['Reggaeton Group'],Los 100 Mejores temas de Reggaeton Vol 4,2011-08-04
Yo Quiero Bailar,['Sonia Y Selena'],Yo Quiero Bailar,2001-01-01
Waka Waka (Esto es Africa) (feat. Freshlyground),"['Shakira', 'Freshlyground']",Los Nº1 De 40 Principales 2010,2010-10-26
In My Eyes - Radio Edit,['Milk Inc.'],Apocalypse Cow (The Millenium Edition),1999-11-22
Taboo,['Don Omar'],Meet The Orphans,2010-01-01
Adrenalina (feat. Jennifer Lopez & Ricky Martin),"['Wisin', 'Jennifer Lopez', 'Ricky Martin']",El Regreso del Sobreviviente (Deluxe Edition),2014-03-18
MALAMENTE - Cap.1: Augurio,['ROSALÍA'],MALAMENTE (Cap.1: Augurio),2018-05-30
La vida es una tómbola - Remastered,['Marisol'],Tómbola (Remastered),2015-12-09
Buleria,['David Bisbal'],Bulería,2004-01-01
Antes Muerta Que Sencilla,['María Isabel'],¡No Me Toques Las Palmas Que Me Conozco!,2004-01-01
¡No Me Toques Las Palmas Que Me Conozco!,['María Isabel'],¡No Me Toques Las Palmas Que Me Conozco!,2004-01-01
Sarandonga,['Lolita'],Lola Lolita Lola,2001-03-26
Torero,['Chayanne'],Grandes Exitos,2002
Europe's Living A Celebration (Version Cibeles),['Rosa López'],Rosa,2002-05-27
Rabiosa (feat. El Cata),"['Shakira', 'El Cata']",Sale el Sol,2010-10-19
A toda mecha,['S.J.K.'],Santa Justa Klan,2005-03-07
Sobreviviré,['Monica Naranjo'],Minage,2000-07-04
Locomia,['Locomia'],Grandes Éxitos,2016-03-11
Bailando,['Alaska Y Los Pegamoides'],Grandes Éxitos - Edición Para Coleccionistas,1982-10-13
Que El Ritmo No Pare,['Patricia Manterola'],Que El Ritmo No Pare,2002-03-05
"Follow the Leader ""Sigue al lider""",['Sol Habana'],Dance Total,2010-08-16
Hay Quel Venir al Sur,['Raffaella Carrà'],Locos X el Verano,2013-07-30
Toxic,['Britney Spears'],Toxic,2004-01-29
Bad Romance,['Lady Gaga'],The Fame Monster,2009-01-01
Buttons,['The Pussycat Dolls'],PCD,2005-01-01
Umbrella - Radio Edit,"['Rihanna', 'JAY-Z']",Promo DJ (2007),2007-01-01
Stayin' Alive,['Bee Gees'],Staying Alive (Original Motion Picture Soundtrack),1977-12-13
Disco Inferno - Edit,['The Trammps'],Playlist: The Best Of The Trammps,2016-06-17
Let's Groove,"['Earth, Wind & Fire']",Raise!,1981-11-14
September,"['Earth, Wind & Fire']",September,2018-04-17
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)","['Calvin Harris', 'Pharrell Williams', 'Katy Perry', 'Big Sean']","Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",2017-06-16
Echa Pa'lla (Manos Pa'rriba) (feat. Papayo),"['Pitbull', 'Papayo']",Global Warming,2012-11-16
Time of Our Lives,"['Pitbull', 'Ne-Yo']",Globalization,2014-11-21
Fantasy - Single Version,"['Earth, Wind & Fire']","The Best Of Earth, Wind & Fire Vol. 1",1978-11-23
One More Time,['Daft Punk'],Discovery,2001-03-12
Get Lucky (feat. Pharrell Williams and Nile Rodgers),"['Daft Punk', 'Pharrell Williams', 'Nile Rodgers']",Random Access Memories,2013-05-20
Give Life Back to Music,['Daft Punk'],Random Access Memories,2013-05-20
Le Freak - 2018 Remaster,['CHIC'],The Chic Organization 1977-1979 (2018 Remaster),2018-11-23
Good Times - 2018 Remaster,['CHIC'],The Chic Organization 1977-1979 (2018 Remaster),2018-11-23
Everybody Dance - 2018 Remaster,['CHIC'],Chic (2018 Remaster),1977-01-01
My Forbidden Lover - 2018 Remaster,['CHIC'],The Chic Organization 1977-1979 (2018 Remaster),2018-11-23
I Want Your Love - 2018 Remaster,['CHIC'],The Chic Organization 1977-1979 (2018 Remaster),2018-11-23
Get Down On It - Single Version,['Kool & The Gang'],The Very Best Of Kool & The Gang (Reissue),1999-03-01
Celebration,['Kool & The Gang'],Celebrate!,1980-09-29
Get Up Offa That Thing,['James Brown'],Cold Sweat & Other Soul Classics: James Brown,1987-01-01
Rock the Boat,['Hues Corporation'],Freedom for the Stallion (Expanded Edition),1973
La Bamba,['Ritchie Valens'],The Wrecking Crew,2015-09-04
Tequila,['The Champs'],Greatest Hits / Tequila,1994-04-19
